SKU,Current_Item,Current_Base_Item,sku_Family,Current_Item_Overall_Status,Current_Item_Specific_Status,Current_Item_Lead_Style,Current_Item_Product_Type ,Current_Item_sku_Pricing,Current_Item_Discounted_Pricing, Current_Item_Inventory , Current_Item_Reported_Inventory , Current_Item_Min_Order_Qty ,Current_Item_Packaging_Type, Current_Item_sku_packaging_qty ,Current_Item_Shrink_wrapped_status,Current_Item_Version_Number,Current_Item_Version_Description,Frequency_Hertz,Starting_Method,Lamp_Connection , Ballast_Factor ,Maximum_Possible_Lamp_Combinations, Number_ of_Lamps ,Maximum_Voltage_Combinations, Voltage_120V , Voltage_240V , Voltage_277V, Voltage_347V,Power_factor,Power_factor_value,Dimming_Status, Length_inches , Width_inches , Height_inches , Weight_in_lbs , Lamps ,Successor_Item,Successor_Base_Item,Successor_Item_sku_Family,Substitute_Item,Substitute_Base_Item,Substitute_Item_Product_Type,Substitute_Item_Overall_Status,Substitute_Item_Specific_Status,Substitutue item sku Family,Substitute_item__Item_Lead_Style, Philips_Advance , GE ,Osram,Univeral,Fulham,Keystone,Howard,Sola,Hatch,Halco,Radionic,Epsen,Interglobal,Sunpark,Accupro,Valmont,TCP
01527P /A,01527P /A,01527P,M10001                       ,Discontinued,Unavailable,Leaded,Magnetic,,,,,,,,,,,60,Preheat,Series,1,2-Jan,1,277,N,N,Y,N,Normal,,N,3.25,1.5,1.94,1.03,"CFQ13W/GX23, CFQ26W/G24D, CFT13W/GX23, CFTR26W/GX24D",01527P AM,01527P,P10104,,,,,,,,VLO-13-TP,,,,,,,,,,C135-27,,,,,,
04827P /A,04827P /A,04827P,M10002,Discontinued,Unavailable,Leaded,Magnetic,,,,,,,,,,,60,Preheat,Series,0.95,1,1,277,N,N,Y,N,Normal,,N,2.81,1.28,1.63,0.61,"CFQ9W/G23, CFT5W/G23, CFT7W/G23, CFT9W/G23, F4T5, F6T5, F8T5",04827P AM,04827P,P10072,,,,,,,,,,,,,,,,,,C468B-27TP,,,,,,
3M10004                       ,HP226SP /A,HP226SP,M10004                       ,Discontinued,Limited,Leaded,Magnetic,$72.95 ,,10,10,,3,1,Y,4,Bottom leads (center)/2-studs,60,Preheat,Series,0.9,2,2,120,Y,N,N,N,High,,N,6.56,2.38,1.69,3,"CFQ26W/G24D, CFTR26W/GX24D",HP226SP AM,HP226SP,P10085,,,,,,,,H-2Q26-TP-BLS,,,,,,,,,,,,,,,,
2M10004                       ,HP226SP /A,HP226SP,M10004                       ,Discontinued,Limited,Leaded,Magnetic,$0.00 ,,1,1,,2,6,Y,4,Bottom leads (center)/2-studs,60,Preheat,Series,0.9,2,2,120,Y,N,N,N,High,,N,6.56,2.38,1.69,3,"CFQ26W/G24D, CFTR26W/GX24D",HP226SP AM,HP226SP,P10085,,,,,,,,H-2Q26-TP-BLS,,,,,,,,,,,,,,,,
SP2 /A,SP2 /A,SP2,M10005,Discontinued,Unavailable,Leaded,Magnetic,$0.00 ,,,,,,,,,,60,Preheat,Series,0.85,1,1,120,Y,N,N,N,Normal,,N,3.06,1.25,1.72,0.61,"F14T12, F14T8, F15T12, F15T8, F18T8/24, F18T8/26, F18T8/28, F18T8/30, F20T12",SP2 AM,SP2,P10129,,,,,,,,"LC-14-20-C,  LC1420C",GEM120PH120DIY,,,,CC1322TP,,,,,CU452,CUSP452,,,,,
VT235         /A,VT235         /A,VT235,M10006,Discontinued,Unavailable,Leaded,Magnetic,$0.00 ,,,,,,,,,,,DK,DK, DK ,DK, DK ,DK,DK,DK,DK,DK,DK,DK,DK,DK,DK,DK,DK,,VT235     AM,VT235,P10133,,,,,,,,,,,,,,,,,,,,,,,,
5M10007                       ,SP258  /A,SP258,M10007,Discontinued,Limited,Leaded,Magnetic,$120.50 ,,10,10,,5,10,N,,,60,Preheat,DK,0.8,1,1,120,Y,N,N,N,Normal,,N,3.06,1.38,1.72,0.721,F25T12,SP258 AM,SP258,P10130,,,,,,,,"LC-25-TP, LC25TP",,,,,,,,,,CE125,,,,,,
3M10007                       ,SP258  /A,SP258,M10007,Discontinued,Limited,Leaded,Magnetic,$14.95 ,,34,34,,3,1,Y,,,60,Preheat,DK,0.8,1,1,120,Y,N,N,N,Normal,,N,3.06,1.38,1.72,0.721,F25T12,SP258 AM,SP258,P10130,,,,,,,,"LC-25-TP, LC25TP",,,,,,,,,,CE125,,,,,,
1M10008                 ,S1P /A,S1P,M10008,Discontinued,Limited,Leaded,Magnetic,$745.50 ,$648.00 ,54,54,,1,60,N,1,Leads one end,60,Preheat,Series,1,1,1,120,Y,N,N,N,Normal,,N,3,1.88,1.44,0.89,"CFQ13W/GX23, CFT13W/GX23, F14T12, F14T8, F15T12, F15T8, F20T12",S1P AM,S1P,P10083,,,,,,,,LC-13-TP,,,CF1320H2P,,,,,,,,,,,,,
5M10008                ,S1P /A,S1P,M10008,Discontinued,Limited,Leaded,Magnetic,$156.95 ,,6,6,,5,10,N,1,Leads one end,60,Preheat,Series,1,1,1,120,Y,N,N,N,Normal,,N,3,1.88,1.44,0.89,"CFQ13W/GX23, CFT13W/GX23, F14T12, F14T8, F15T12, F15T8, F20T12",S1P AM,S1P,P10083,,,,,,,,LC-13-TP,,,CF1320H2P,,,,,,,,,,,,,
